Period,Units,GRU_Layers,Batch_Size,Epochs,Dropout_Rate,Test_RMSE
5_years,200,1,16,20,0.2,0.014340565092542947
5_years,200,1,16,50,0.2,0.01414349078572763
5_years,200,1,16,100,0.2,0.014011650908300506
5_years,200,1,16,150,0.2,0.014413047514672279
5_years,200,1,16,200,0.2,0.013522955143492546
