Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.02754805447887908
5_years,50,2,0.07717252361425844
5_years,100,1,0.024674257169018315
5_years,100,2,0.03393617986509565
10_years,50,1,0.029380133110031476
10_years,50,2,0.030429227717205066
10_years,100,1,0.02413212571193754
10_years,100,2,0.03339062350471437
