Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.029841025279367942
5_years,50,2,0.023814553351897673
5_years,100,1,0.021973318597669832
5_years,100,2,0.02083408386042747
10_years,50,1,0.02190014064769514
10_years,50,2,0.032758711844275604
10_years,100,1,0.020931981410077256
10_years,100,2,0.0356781368064971
