Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.019773117453426282
5_years,50,2,0.02418812447767722
5_years,100,1,0.018546650767063425
5_years,100,2,0.02384701609725422
10_years,50,1,0.03040100556726568
10_years,50,2,0.02286319162043932
10_years,100,1,0.020474780005288837
10_years,100,2,0.02160964199931726
