Period,Units,GRU_Layers,Batch_Size,Epochs,Dropout_Rate,Test_RMSE
5_years,50,2,32,50,0.2,0.022006871536940472
5_years,100,2,32,50,0.2,0.02089969682696075
5_years,150,2,32,50,0.2,0.018320033010172335
5_years,200,2,32,50,0.2,0.016634186505028924
5_years,250,2,32,50,0.2,0.01816830863790242
