Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.02150134286599589
5_years,200,3,1.0,0.1,0.024660623720041557
5_years,200,5,0.8,0.1,0.021915559099194324
5_years,200,5,1.0,0.1,0.023977503842036438
5_years,200,7,0.8,0.1,0.024413603453922208
5_years,200,7,1.0,0.1,0.024140471014477943
5_years,300,3,0.8,0.1,0.02199412770192341
5_years,300,3,1.0,0.1,0.023885145153316415
5_years,300,5,0.8,0.1,0.021902970449159755
5_years,300,5,1.0,0.1,0.024711767351157973
5_years,300,7,0.8,0.1,0.024416405442694473
5_years,300,7,1.0,0.1,0.024140471014477943
5_years,400,3,0.8,0.1,0.02252866667594932
5_years,400,3,1.0,0.1,0.023708865857267725
5_years,400,5,0.8,0.1,0.02195232872853839
5_years,400,5,1.0,0.1,0.024711767351157973
5_years,400,7,0.8,0.1,0.024415850307358846
5_years,400,7,1.0,0.1,0.024140471014477943
10_years,200,3,0.8,0.1,0.19048039157485103
10_years,200,3,1.0,0.1,0.17434317432997176
10_years,200,5,0.8,0.1,0.17839798308004076
10_years,200,5,1.0,0.1,0.18867976638225684
10_years,200,7,0.8,0.1,0.19634251834575275
10_years,200,7,1.0,0.1,0.19197483323221193
10_years,300,3,0.8,0.1,0.18970259929728184
10_years,300,3,1.0,0.1,0.17216896732674333
10_years,300,5,0.8,0.1,0.17818867838168007
10_years,300,5,1.0,0.1,0.18839068904136508
10_years,300,7,0.8,0.1,0.1963029020908837
10_years,300,7,1.0,0.1,0.19197483323221193
10_years,400,3,0.8,0.1,0.18961602319636264
10_years,400,3,1.0,0.1,0.17329430905691487
10_years,400,5,0.8,0.1,0.17839119188844887
10_years,400,5,1.0,0.1,0.18842379461790784
10_years,400,7,0.8,0.1,0.19631708965462547
10_years,400,7,1.0,0.1,0.19197483323221193
