Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.020146646701393683
5_years,200,3,1.0,0.1,0.0202708759717027
5_years,200,5,0.8,0.1,0.02074051470377551
5_years,200,5,1.0,0.1,0.021481635594479916
5_years,200,7,0.8,0.1,0.022081024311545235
5_years,200,7,1.0,0.1,0.023925193050508137
5_years,300,3,0.8,0.1,0.020590644821466643
5_years,300,3,1.0,0.1,0.020785609994480436
5_years,300,5,0.8,0.1,0.02076409471988551
5_years,300,5,1.0,0.1,0.021484343066348017
5_years,300,7,0.8,0.1,0.022081185501484277
5_years,300,7,1.0,0.1,0.023925193050508137
5_years,400,3,0.8,0.1,0.02073155753890296
5_years,400,3,1.0,0.1,0.021039487789075526
5_years,400,5,0.8,0.1,0.020769980826170136
5_years,400,5,1.0,0.1,0.021484343066348017
5_years,400,7,0.8,0.1,0.02208423618523211
5_years,400,7,1.0,0.1,0.023925193050508137
10_years,200,3,0.8,0.1,0.17341372774280486
10_years,200,3,1.0,0.1,0.1914050776321033
10_years,200,5,0.8,0.1,0.1761506097310709
10_years,200,5,1.0,0.1,0.17396703380713263
10_years,200,7,0.8,0.1,0.18072806504726197
10_years,200,7,1.0,0.1,0.1797051933068947
10_years,300,3,0.8,0.1,0.1738639494908388
10_years,300,3,1.0,0.1,0.19114684266058213
10_years,300,5,0.8,0.1,0.1761642871874917
10_years,300,5,1.0,0.1,0.17401119244894384
10_years,300,7,0.8,0.1,0.18072494632633276
10_years,300,7,1.0,0.1,0.1797051933068947
10_years,400,3,0.8,0.1,0.1740103207771021
10_years,400,3,1.0,0.1,0.19095316530989362
10_years,400,5,0.8,0.1,0.1761947989096699
10_years,400,5,1.0,0.1,0.17408375017018943
10_years,400,7,0.8,0.1,0.1807239137771046
10_years,400,7,1.0,0.1,0.1797051933068947
