Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.14222278657461004
5_years,50,2,0.17045894741222953
5_years,100,1,0.04488375978169156
5_years,100,2,0.08363779925232113
10_years,50,1,0.08276348683278871
10_years,50,2,0.10508145361952909
10_years,100,1,0.05149133796993509
10_years,100,2,0.05758203652223377
