Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.021955592847008577
5_years,50,2,0.03069016501059469
5_years,100,1,0.024346550210456463
5_years,100,2,0.029247746724226625
10_years,50,1,0.029756805988107152
10_years,50,2,0.03413826322438806
10_years,100,1,0.022254525327862703
10_years,100,2,0.03184971985188502
