Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.12057667590168653
5_years,50,2,0.0630274452076473
5_years,100,1,0.06187545688184566
5_years,100,2,0.10636920867726397
10_years,50,1,0.07913192971593165
10_years,50,2,0.17281414916419657
10_years,100,1,0.0779764845740613
10_years,100,2,0.08246927022193282
