Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.028071057875934554
5_years,200,3,1.0,0.1,0.030538413923269333
5_years,200,5,0.8,0.1,0.0365774296258848
5_years,200,5,1.0,0.1,0.03804102928832219
5_years,200,7,0.8,0.1,0.04454860553289056
5_years,200,7,1.0,0.1,0.05666979845176327
5_years,300,3,0.8,0.1,0.028382821061390742
5_years,300,3,1.0,0.1,0.03271695911477172
5_years,300,5,0.8,0.1,0.03658947415844721
5_years,300,5,1.0,0.1,0.03811344505166815
5_years,300,7,0.8,0.1,0.04455732134201534
5_years,300,7,1.0,0.1,0.05666979845176327
5_years,400,3,0.8,0.1,0.028654744041064464
5_years,400,3,1.0,0.1,0.032191498546372765
5_years,400,5,0.8,0.1,0.036592821117121324
5_years,400,5,1.0,0.1,0.038121686059954425
5_years,400,7,0.8,0.1,0.0445564778611544
5_years,400,7,1.0,0.1,0.05666979845176327
10_years,200,3,0.8,0.1,0.2086572821318109
10_years,200,3,1.0,0.1,0.21229852161769183
10_years,200,5,0.8,0.1,0.25842145318492943
10_years,200,5,1.0,0.1,0.24439218185824535
10_years,200,7,0.8,0.1,0.2491998359475963
10_years,200,7,1.0,0.1,0.22821609464328466
10_years,300,3,0.8,0.1,0.21183450178769747
10_years,300,3,1.0,0.1,0.2184118865627503
10_years,300,5,0.8,0.1,0.2589941707903147
10_years,300,5,1.0,0.1,0.24505447245182652
10_years,300,7,0.8,0.1,0.24922200863957775
10_years,300,7,1.0,0.1,0.22821609464328466
10_years,400,3,0.8,0.1,0.21056591556975565
10_years,400,3,1.0,0.1,0.22317692292218003
10_years,400,5,0.8,0.1,0.25893530325613695
10_years,400,5,1.0,0.1,0.24562103764005205
10_years,400,7,0.8,0.1,0.249233510189943
10_years,400,7,1.0,0.1,0.22821609464328466
