Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.035867683636933725
5_years,200,3,1.0,0.1,0.02679163353255324
5_years,200,5,0.8,0.1,0.0325096990031295
5_years,200,5,1.0,0.1,0.03125009005232829
5_years,200,7,0.8,0.1,0.030983290012972446
5_years,200,7,1.0,0.1,0.03034847444923258
5_years,300,3,0.8,0.1,0.03585101323924486
5_years,300,3,1.0,0.1,0.028115555227108534
5_years,300,5,0.8,0.1,0.03308673237981739
5_years,300,5,1.0,0.1,0.031218717211164513
5_years,300,7,0.8,0.1,0.030961308316052986
5_years,300,7,1.0,0.1,0.03034847444923258
5_years,400,3,0.8,0.1,0.034958980745957546
5_years,400,3,1.0,0.1,0.028192961814925664
5_years,400,5,0.8,0.1,0.0328919171949576
5_years,400,5,1.0,0.1,0.031167392638693257
5_years,400,7,0.8,0.1,0.030960508731669025
5_years,400,7,1.0,0.1,0.03034847444923258
10_years,200,3,0.8,0.1,0.2772297156619798
10_years,200,3,1.0,0.1,0.2485376305356667
10_years,200,5,0.8,0.1,0.25875506755565736
10_years,200,5,1.0,0.1,0.2513320920344855
10_years,200,7,0.8,0.1,0.2510712542397226
10_years,200,7,1.0,0.1,0.23708141628965398
10_years,300,3,0.8,0.1,0.28138129429184683
10_years,300,3,1.0,0.1,0.25429350401779605
10_years,300,5,0.8,0.1,0.25804128351884936
10_years,300,5,1.0,0.1,0.25211846034482016
10_years,300,7,0.8,0.1,0.251465453616748
10_years,300,7,1.0,0.1,0.2371742541209394
10_years,400,3,0.8,0.1,0.28389993568165106
10_years,400,3,1.0,0.1,0.2563404526905263
10_years,400,5,0.8,0.1,0.25959584690297355
10_years,400,5,1.0,0.1,0.25340902233297513
10_years,400,7,0.8,0.1,0.25169624490268044
10_years,400,7,1.0,0.1,0.2371742541209394
