Period,Units,GRU_Layers,Batch_Size,Epochs,Dropout_Rate,Test_RMSE
5_years,200,1,32,50,0.2,0.015266573766426242
5_years,200,2,32,50,0.2,0.019627927135448378
5_years,200,3,32,50,0.2,0.019771896334510194
5_years,200,4,32,50,0.2,0.022985257972659903
5_years,200,5,32,50,0.2,0.027178412274041684
