Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.06223262703143982
5_years,50,2,0.05611382092118836
5_years,100,1,0.054978622466834465
5_years,100,2,0.03762912115488632
10_years,50,1,0.09038431286843358
10_years,50,2,0.07564813285859413
10_years,100,1,0.04270123536570998
10_years,100,2,0.05565015578911515
