Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.06341080687440137
5_years,50,2,0.07206821464965414
5_years,100,1,0.05348772299454168
5_years,100,2,0.04377389069117284
10_years,50,1,0.03937886659297692
10_years,50,2,0.058705011314791784
10_years,100,1,0.03986026821813002
10_years,100,2,0.03230806328023369
