Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.025703094936590735
5_years,50,2,0.0361790119641036
5_years,100,1,0.02547732703179852
5_years,100,2,0.03649070130079071
10_years,50,1,0.03899138964431744
10_years,50,2,0.05081500865398485
10_years,100,1,0.03201919809136747
10_years,100,2,0.04709090517700981
