Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.02733751469170694
5_years,50,2,0.04273250788360714
5_years,100,1,0.025927671230377904
5_years,100,2,0.02620666586093633
10_years,50,1,0.020024417557471613
10_years,50,2,0.04138451946415239
10_years,100,1,0.028401038178807958
10_years,100,2,0.03315134006652813
