Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.015765338516126694
5_years,50,2,0.022788873457461008
5_years,100,1,0.014354971039788696
5_years,100,2,0.021210898556471167
10_years,50,1,0.017120318963653305
10_years,50,2,0.019712789835390303
10_years,100,1,0.01616573540857542
10_years,100,2,0.019567472593245025
