Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.3006275208069534
5_years,64,4,256,2,0.43254019096933394
5_years,64,8,128,2,0.0486107019134215
5_years,64,8,256,2,0.18820121747503898
5_years,128,4,128,2,0.23342752121615262
5_years,128,4,256,2,0.24688390496936294
5_years,128,8,128,2,0.11152054764774737
5_years,128,8,256,2,0.25738082530909473
10_years,64,4,128,2,0.3867486213684413
10_years,64,4,256,2,0.632192630714481
10_years,64,8,128,2,1.7006992495436648
10_years,64,8,256,2,0.5015544410537143
10_years,128,4,128,2,0.2780866410628175
10_years,128,4,256,2,0.394227571811117
10_years,128,8,128,2,0.3867069199603239
10_years,128,8,256,2,2.431690182923298
