Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.08969818887101699
5_years,64,4,256,2,0.12446567800937659
5_years,64,8,128,2,0.08833969294842704
5_years,64,8,256,2,0.12763755489412137
5_years,128,4,128,2,0.09987180243637966
5_years,128,4,256,2,0.11131106674704161
5_years,128,8,128,2,0.09299266348625634
5_years,128,8,256,2,0.11951447261699102
10_years,64,4,128,2,0.2121169814263454
10_years,64,4,256,2,0.2352481610946504
10_years,64,8,128,2,0.26216989516434186
10_years,64,8,256,2,0.4144255744600723
10_years,128,4,128,2,0.20602582178412654
10_years,128,4,256,2,0.16731965105467758
10_years,128,8,128,2,0.33824978125486216
10_years,128,8,256,2,0.3963839173841548
