Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.015842818754246
5_years,50,2,0.030046550849254700
5_years,100,1,0.017875743896467000
5_years,100,2,0.016315807185144000
10_years,50,1,0.026272518922627100
10_years,50,2,0.02464852492565210
10_years,100,1,0.017517312977754000
10_years,100,2,0.0171215201451028
