Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.015957555026278172
5_years,50,2,0.02594347449308897
5_years,100,1,0.016925298547396467
5_years,100,2,0.025899041008340683
10_years,50,1,0.01811102092522293
10_years,50,2,0.024850958879252504
10_years,100,1,0.01720730966235607
10_years,100,2,0.020214685556652904
