Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.051676340953133504
5_years,50,2,0.059331258685425575
5_years,100,1,0.04262995445282722
5_years,100,2,0.046118792785322785
10_years,50,1,0.05282163832341591
10_years,50,2,0.060524064224539924
10_years,100,1,0.04259132221220685
10_years,100,2,0.06091205518496334
