Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.028378815482874076
5_years,50,2,0.029512001407878453
5_years,100,1,0.03198343802405357
5_years,100,2,0.03096782725938575
10_years,50,1,0.04826613881094166
10_years,50,2,0.03910701825845067
10_years,100,1,0.05375441153813058
10_years,100,2,0.021931561830783916
