Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.02253329097317494
5_years,50,2,0.03503429584534832
5_years,100,1,0.022714094045079705
5_years,100,2,0.02539784568158823
10_years,50,1,0.022061552134095046
10_years,50,2,0.03265289804798489
10_years,100,1,0.02260719731223532
10_years,100,2,0.028581515021716998
