Period,Units,GRU_Layers,Test_RMSE
5_years,50,1,0.07110353777953628
5_years,50,2,0.036121958136483404
5_years,100,1,0.030645920232451013
5_years,100,2,0.03060372557065672
10_years,50,1,0.034764936122424255
10_years,50,2,0.041087998134517724
10_years,100,1,0.03002083861252147
10_years,100,2,0.032418997731232954
