Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.08339777407614192
5_years,64,4,256,2,0.08900401924644762
5_years,64,8,128,2,0.05681303826416496
5_years,64,8,256,2,0.10243121393515617
5_years,128,4,128,2,0.10555806516041014
5_years,128,4,256,2,0.09667432471005688
5_years,128,8,128,2,0.055738328046946485
5_years,128,8,256,2,0.14154353060508176
10_years,64,4,128,2,0.20545773566904546
10_years,64,4,256,2,0.23095716415933748
10_years,64,8,128,2,0.1683956495534308
10_years,64,8,256,2,0.3063493128753684
10_years,128,4,128,2,0.15712376086092986
10_years,128,4,256,2,0.27932413269801787
10_years,128,8,128,2,0.4351190785610879
10_years,128,8,256,2,0.11216354615907241
