Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.8004652116380983
5_years,64,4,256,2,4.3260907811733915
5_years,64,8,128,2,2.2803619273972857
5_years,64,8,256,2,0.19475605317596312
5_years,128,4,128,2,0.5194827882768098
5_years,128,4,256,2,0.6906452264868738
5_years,128,8,128,2,1.3497070748168392
5_years,128,8,256,2,0.12514381268535865
10_years,64,4,128,2,0.0974305174262268
10_years,64,4,256,2,0.18654893329093045
10_years,64,8,128,2,0.8390197411031468
10_years,64,8,256,2,0.21106561532736032
10_years,128,4,128,2,3.5093641364480517
10_years,128,4,256,2,0.17826634446252534
10_years,128,8,128,2,0.6759988215971268
10_years,128,8,256,2,2.0136494799132807
