Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,3.528533307146284
5_years,64,4,256,2,2.0055582299071895
5_years,64,8,128,2,3.1258697385427467
5_years,64,8,256,2,0.6060565275216657
5_years,128,4,128,2,1.889782620284587
5_years,128,4,256,2,2.3848600062101255
5_years,128,8,128,2,0.3305644948962601
5_years,128,8,256,2,0.11930533089101822
10_years,64,4,128,2,0.3625093481505685
10_years,64,4,256,2,1.7713532254295443
10_years,64,8,128,2,3.02203247652794
10_years,64,8,256,2,2.656797480120771
10_years,128,4,128,2,1.1416006626382342
10_years,128,4,256,2,1.9591158109645501
10_years,128,8,128,2,1.7693404263235735
10_years,128,8,256,2,1.7431240794795646
