Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.08347470920609333
5_years,200,3,1.0,0.1,0.07883836830333013
5_years,200,5,0.8,0.1,0.08809987247648572
5_years,200,5,1.0,0.1,0.0920757049527425
5_years,200,7,0.8,0.1,0.08415254507959487
5_years,200,7,1.0,0.1,0.08888094480838055
5_years,300,3,0.8,0.1,0.08202642012989343
5_years,300,3,1.0,0.1,0.08084081545701817
5_years,300,5,0.8,0.1,0.08787030208311482
5_years,300,5,1.0,0.1,0.09204559939057172
5_years,300,7,0.8,0.1,0.08411694155225279
5_years,300,7,1.0,0.1,0.08888094480838055
5_years,400,3,0.8,0.1,0.08157896129301911
5_years,400,3,1.0,0.1,0.08147809142011496
5_years,400,5,0.8,0.1,0.08788087601428915
5_years,400,5,1.0,0.1,0.09204559939057172
5_years,400,7,0.8,0.1,0.08414355844379062
5_years,400,7,1.0,0.1,0.08888094480838055
10_years,200,3,0.8,0.1,0.4411716216542132
10_years,200,3,1.0,0.1,0.44283982262113386
10_years,200,5,0.8,0.1,0.4402026427576084
10_years,200,5,1.0,0.1,0.4440031890054607
10_years,200,7,0.8,0.1,0.44132970132825405
10_years,200,7,1.0,0.1,0.4405168948083262
10_years,300,3,0.8,0.1,0.4408749122729138
10_years,300,3,1.0,0.1,0.4418152013383138
10_years,300,5,0.8,0.1,0.44010170497992274
10_years,300,5,1.0,0.1,0.4440031890054607
10_years,300,7,0.8,0.1,0.4412907737286885
10_years,300,7,1.0,0.1,0.4405168948083262
10_years,400,3,0.8,0.1,0.44100067913164204
10_years,400,3,1.0,0.1,0.4412603323754461
10_years,400,5,0.8,0.1,0.4401553573313081
10_years,400,5,1.0,0.1,0.4440031890054607
10_years,400,7,0.8,0.1,0.44129044226544123
10_years,400,7,1.0,0.1,0.4405168948083262
