Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.07469274027154367
5_years,200,3,1.0,0.1,0.06826221103883749
5_years,200,5,0.8,0.1,0.0866916733431212
5_years,200,5,1.0,0.1,0.08985571969072428
5_years,200,7,0.8,0.1,0.08478979216760153
5_years,200,7,1.0,0.1,0.09257470200480135
5_years,300,3,0.8,0.1,0.07464908998700585
5_years,300,3,1.0,0.1,0.0673594808415698
5_years,300,5,0.8,0.1,0.08629894465179068
5_years,300,5,1.0,0.1,0.0898257853498832
5_years,300,7,0.8,0.1,0.08481076888206196
5_years,300,7,1.0,0.1,0.09257470200480135
5_years,400,3,0.8,0.1,0.07447977890551163
5_years,400,3,1.0,0.1,0.06762053562878054
5_years,400,5,0.8,0.1,0.08623583698447132
5_years,400,5,1.0,0.1,0.0898257853498832
5_years,400,7,0.8,0.1,0.08480618233320582
5_years,400,7,1.0,0.1,0.09257470200480135
10_years,200,3,0.8,0.1,0.42635877743470046
10_years,200,3,1.0,0.1,0.42968355202331515
10_years,200,5,0.8,0.1,0.42849511914225885
10_years,200,5,1.0,0.1,0.4379370746121466
10_years,200,7,0.8,0.1,0.43031166089723044
10_years,200,7,1.0,0.1,0.43503443236000666
10_years,300,3,0.8,0.1,0.4259271721460907
10_years,300,3,1.0,0.1,0.4293653294789815
10_years,300,5,0.8,0.1,0.42839305845502684
10_years,300,5,1.0,0.1,0.4379370746121466
10_years,300,7,0.8,0.1,0.43026753591334294
10_years,300,7,1.0,0.1,0.43503443236000666
10_years,400,3,0.8,0.1,0.42608873347989273
10_years,400,3,1.0,0.1,0.4289423415201928
10_years,400,5,0.8,0.1,0.4283893644252898
10_years,400,5,1.0,0.1,0.4379370746121466
10_years,400,7,0.8,0.1,0.430275692705524
10_years,400,7,1.0,0.1,0.43503443236000666
