Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.02812485118725264
5_years,50,2,0.06071426598004082
5_years,100,1,0.022182936399402355
5_years,100,2,0.03383904847678639
10_years,50,1,0.03926917220386484
10_years,50,2,0.05706774664658382
10_years,100,1,0.03214972887618191
10_years,100,2,0.03493586358686375
