Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.10648286638529242
5_years,50,2,0.12842104613539845
5_years,100,1,0.1614693842159704
5_years,100,2,0.13464972346147222
10_years,50,1,0.048499845752605936
10_years,50,2,0.09414135265587156
10_years,100,1,0.03654639858485621
10_years,100,2,0.060728838147996865
