Period,Units,LSTM_Layers,Test_RMSE
5_years,50,1,0.031065521930802784
5_years,50,2,0.02556203518558343
5_years,100,1,0.01940875104287452
5_years,100,2,0.019941803106756167
10_years,50,1,0.04973238611125601
10_years,50,2,0.04682251008703846
10_years,100,1,0.0217820466602594
10_years,100,2,0.02731067822965846
