Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,0.19009437167405582
5_years,64,4,256,2,0.20391208913639178
5_years,64,8,128,2,0.2827718933302306
5_years,64,8,256,2,0.23861757180856408
5_years,128,4,128,2,0.17228467885400436
5_years,128,4,256,2,0.1782910817367576
5_years,128,8,128,2,0.18412755620537055
5_years,128,8,256,2,0.20499538056684188
10_years,64,4,128,2,0.2080421966435113
10_years,64,4,256,2,0.18870519466941987
10_years,64,8,128,2,0.21353243533550892
10_years,64,8,256,2,0.24955461948917296
10_years,128,4,128,2,0.10664438831238728
10_years,128,4,256,2,0.285824518550471
10_years,128,8,128,2,0.24331459798064659
10_years,128,8,256,2,0.18813570037641422
