Period,Head_Size,Num_Heads,FF_Dim,Num_Transformer_Blocks,Test_RMSE
5_years,64,4,128,2,2.0282678236491987
5_years,64,4,256,2,1.5389188315264914
5_years,64,8,128,2,1.9117072296108826
5_years,64,8,256,2,2.185787017580685
5_years,128,4,128,2,0.15250020485197255
5_years,128,4,256,2,1.8531883544733134
5_years,128,8,128,2,0.3316870247782376
5_years,128,8,256,2,2.285436174154072
10_years,64,4,128,2,0.2322182684806494
10_years,64,4,256,2,1.461539441128852
10_years,64,8,128,2,0.6852864034880063
10_years,64,8,256,2,0.5745747025951247
10_years,128,4,128,2,1.5456673470980682
10_years,128,4,256,2,0.37145857612669037
10_years,128,8,128,2,1.6600573284289188
10_years,128,8,256,2,0.7100771538093155
