Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.10053062870617797
5_years,200,3,1.0,0.1,0.10069999277080587
5_years,200,5,0.8,0.1,0.11393801860777236
5_years,200,5,1.0,0.1,0.10677318478817631
5_years,200,7,0.8,0.1,0.11297949350037557
5_years,200,7,1.0,0.1,0.11036117933265781
5_years,300,3,0.8,0.1,0.1009326702335882
5_years,300,3,1.0,0.1,0.10170822491097653
5_years,300,5,0.8,0.1,0.11388302489240558
5_years,300,5,1.0,0.1,0.10685033599119818
5_years,300,7,0.8,0.1,0.11297992337489432
5_years,300,7,1.0,0.1,0.11036117933265781
5_years,400,3,0.8,0.1,0.10094258346526819
5_years,400,3,1.0,0.1,0.10233701349016656
5_years,400,5,0.8,0.1,0.11389593196877312
5_years,400,5,1.0,0.1,0.10685033599119818
5_years,400,7,0.8,0.1,0.11297384641084612
5_years,400,7,1.0,0.1,0.11036117933265781
10_years,200,3,0.8,0.1,0.17959190258985547
10_years,200,3,1.0,0.1,0.1777289002198544
10_years,200,5,0.8,0.1,0.18852725981276602
10_years,200,5,1.0,0.1,0.1880160053198497
10_years,200,7,0.8,0.1,0.18748872060036678
10_years,200,7,1.0,0.1,0.18482805746752787
10_years,300,3,0.8,0.1,0.1793673998145122
10_years,300,3,1.0,0.1,0.17790219135154375
10_years,300,5,0.8,0.1,0.1884868112154399
10_years,300,5,1.0,0.1,0.18802561008702262
10_years,300,7,0.8,0.1,0.18747832455356503
10_years,300,7,1.0,0.1,0.18482805746752787
10_years,400,3,0.8,0.1,0.17932057525157527
10_years,400,3,1.0,0.1,0.1782027520564032
10_years,400,5,0.8,0.1,0.18845372383024492
10_years,400,5,1.0,0.1,0.18802561008702262
10_years,400,7,0.8,0.1,0.18747332261767477
10_years,400,7,1.0,0.1,0.18482805746752787
