Period,n_estimators,max_depth,subsample,learning_rate,Test_RMSE
5_years,200,3,0.8,0.1,0.10797814118762655
5_years,200,3,1.0,0.1,0.1063389912553331
5_years,200,5,0.8,0.1,0.1176745706149728
5_years,200,5,1.0,0.1,0.11132933975200016
5_years,200,7,0.8,0.1,0.11954186514914118
5_years,200,7,1.0,0.1,0.11023687548997084
5_years,300,3,0.8,0.1,0.10904062121312914
5_years,300,3,1.0,0.1,0.11026536817547165
5_years,300,5,0.8,0.1,0.11777454484359604
5_years,300,5,1.0,0.1,0.11196771453752484
5_years,300,7,0.8,0.1,0.11956712829440383
5_years,300,7,1.0,0.1,0.11023687548997084
5_years,400,3,0.8,0.1,0.11035952251609334
5_years,400,3,1.0,0.1,0.1111900239398681
5_years,400,5,0.8,0.1,0.11779398416748108
5_years,400,5,1.0,0.1,0.11196771453752484
5_years,400,7,0.8,0.1,0.11959364555076613
5_years,400,7,1.0,0.1,0.11023687548997084
10_years,200,3,0.8,0.1,0.18059078472425671
10_years,200,3,1.0,0.1,0.18110787336372933
10_years,200,5,0.8,0.1,0.18254451212357795
10_years,200,5,1.0,0.1,0.1867913155858094
10_years,200,7,0.8,0.1,0.18256556620294373
10_years,200,7,1.0,0.1,0.18230712486170703
10_years,300,3,0.8,0.1,0.1808468224978534
10_years,300,3,1.0,0.1,0.18234460358566457
10_years,300,5,0.8,0.1,0.18283436479119322
10_years,300,5,1.0,0.1,0.18718890555110576
10_years,300,7,0.8,0.1,0.1825767812048285
10_years,300,7,1.0,0.1,0.18230712486170703
10_years,400,3,0.8,0.1,0.18099990934245827
10_years,400,3,1.0,0.1,0.1822325089761609
10_years,400,5,0.8,0.1,0.18285074244786206
10_years,400,5,1.0,0.1,0.18718890555110576
10_years,400,7,0.8,0.1,0.18258203304198403
10_years,400,7,1.0,0.1,0.18230712486170703
